// cosine fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -2.066  0.248  2.083 -0.738 -0.794  0.518 -1.383  0.307 -0.055  3.701  0.219  1.102
O=[S:1](=O)[NX3H1:2]!@;-[CX4H1:3][H:4] -1.768  0.915 -1.201  1.123  0.83   2.374  1.429 -0.903  0.236  0.873  2.215  0.523
O=[S:1](=O)[NH1:2]!@;-[c:3][nX2:4] -2.161  0.878 -2.547  0.872  1.469  1.957 -1.02   0.54  -0.784  0.618  1.648  0.635
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH1])[cH1:4]  0.181  1.309 -2.238  1.221 -0.482  0.735  3.594  0.674  0.079  1.808  1.45  -0.722
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH1])[cH1:4]  0.03   0.968 -0.508  0.111  0.327  0.082  3.908  0.075 -0.014  3.537  0.072 -1.217
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH1])[cH0:4]  0.038  1.534 -1.461  0.997 -0.035  1.527  2.49   0.544  0.032  1.144  0.374 -1.563
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH1])[cH0:4] 0.497 0.853 1.957 1.045 1.954 0.389 1.293 0.868 1.429 0.655 0.295 0.713
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH0])[cH0:4] 2.003 0.816 1.757 0.856 1.667 0.629 1.604 0.81  1.429 0.538 1.086 0.628
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH0])[cH0:4]  0.13   1.312  3.187  1.058  0.011  1.745 -0.164  1.113  0.844  1.642  1.012 -0.603
O=[S:1](=O)[N:2]!@;-[c:3][a:4]  1.906 -0.233  2.802  1.365  1.096  0.225  0.588  2.955  0.55   0.819  0.882  0.487
[O-:1][N+:2](=O)!@;-[c:3]([cH,nX2H0])[cH,nX2H0:4]  0.002  0.646  0.174 -0.175  0.013  1.543  1.51   0.216  0.003  1.504 -0.662 -0.185
[O-:1][N+:2](=O)!@;-[c:3]([cH0])[cH,nX2H0:4] -0.696  0.458 -2.963  1.521  0.177  2.799 -1.406  0.711 -0.153  0.812  0.193  1.865
[O-:1][N+:2](=O)!@;-[c:3]([cH0])[cH0:4]  0.052  0.891  1.753 -0.752  0.497 -0.171  0.042  2.127  0.026  1.438  0.376  0.588
[O-:1][N+:2](=O)!@;-[c:3][a:4]  1.111  0.034  1.246 -0.364  0.252 -0.443  0.119  1.921  0.006  0.505 -0.068  1.988
[cH0:1][c:2]([cH0])!@;-[NX3H1:3][C,c:4]  1.172e-02  1.062e+00  9.911e-01 -1.239e+00 -7.742e-03  6.585e-01 -9.301e-03  1.785e+00  1.961e-03  1.499e+00  1.335e-03  4.616e-01
[cH0:1][c:2]([cH1])!@;-[NX3H1:3][C,c:4]  1.256 -0.043 -0.011  1.297  0.046  1.514  0.967  0.309  0.012  0.905  0.863 -0.381
[cH0:1][c:2]([nX2H0])!@;-[NX3H1:3][C,c:4]  0.958  0.887 -0.977  1.11   0.247  1.777 -0.662 -0.414 -0.071  1.148  5.667 -0.038
[cH0:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] -0.073  1.44  -3.272  1.433  0.939  1.239  1.547  0.79   0.888  0.413 -0.364  1.697
[cH1:1][c:2]([cH1])!@;-[NX3H1:3][C,c:4]  2.213  0.622  1.589 -1.041 -0.088  1.734  1.692  0.676  0.908  1.261 -0.054  1.781
[cH1:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] -0.191  0.887 -4.189  0.77   0.055  1.779  3.877  0.305  0.224  0.298 -0.492  1.222
[nX2H0:1][c:2]([nX2H0])!@;-[NX3H1:3][C,c:4]  0.526  1.572 -3.208  0.71  -4.999  0.235  1.364  0.188  0.52   1.762  1.311  0.418
[nX2H0:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] -0.495  1.371 -3.441  1.279 -0.094  1.399 -2.417  1.233  0.833  1.398  1.093  1.587
[a:1][a:2]!@;-[NH1:3][C,c:4] -0.138  1.19  -4.015  1.136  0.326  0.723  0.155  1.617 -0.686  0.935  0.926  1.136
[C:1][NH:2]!@;-[C:3](=[NH2:4])[NH2] -0.024  1.202 -1.26   0.896  0.082  0.738  0.482 -0.268  0.016  1.448  1.882 -0.007
[NH2][C:1](=[NH2])[NH:2]!@;-[CH2:3][C:4]  1.022  1.357 -1.637  1.195  0.599  1.628 -1.183  1.174  0.247  1.341 -0.578  1.231
[a:1][c:2]!@;-[NX2:3]=[C:4]([NX3])n  0.165  1.562  0.389  1.415  0.07   1.932  0.517  1.081 -1.237  0.9   -0.36   1.003
[nX2:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N -0.242  1.486  1.086  0.288  0.464  1.48   1.688  1.897 -0.286  1.171 -0.388  1.535
[cH0:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N -0.533  2.105 -1.192  0.911 -0.547  1.895 -0.519  1.848 -0.736  1.189 -0.738  1.044
[cH1:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N  3.223  0.294  3.176  1.305  0.055  1.819  0.109  1.988 -1.932  0.132 -1.952  0.78 
[O:1]=[C:2]([NH1])!@;-[NX3H1:3](C=O)[H:4] -1.124 -0.386  3.533  0.887  0.42   0.867  0.918  2.651 -0.399 -0.783  0.065  2.372
[O:1]=[C:2]!@;-[NX3H1:3](C=O)[H:4]  0.04   1.037 -2.938  1.28   0.006  2.013 -1.995  1.281 -0.018  1.596 -0.54   2.041
[O:1]=[C:2]!@;-[NX3:3](C=O)[*:4]  0.207  2.049 -4.916  0.972  0.052  1.422 -1.794  1.301 -0.157  1.718 -0.099  1.616
O=[C:1][NX3H1:2]!@;-[CX3:3]=[NX2:4] -0.064  2.374  1.395 -0.963 -0.185  0.821 -0.119  0.71   1.117  0.003 -0.139  1.46 
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H0:4]  0.614  1.115 -3.422  1.252 -0.698  1.218  1.476  0.936  0.729  1.112 -0.649  0.606
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H1:4]  0.22   1.252  0.835 -1.062  0.159  1.774  0.031  1.547  0.224  0.177 -0.629  0.322
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H2:4]  0.065  1.774  0.637 -0.846  0.101  1.115 -0.054  1.723  0.158 -0.464 -0.304  0.404
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*H2:4]  0.293  1.638  1.363 -0.471  1.185  0.252  0.249  0.48   1.402  0.17  -0.026  1.979
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*H1:4]  0.063  1.3   -1.005  1.025  0.54   1.103 -0.125  1.6    0.692  1.489  0.251  1.374
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*H0:4]  1.363  0.088 -3.78   1.174  0.233  0.176  0.907  1.929  0.049  1.96  -0.977  0.808
O=[C:1][NX3H0:2]!@;-[CX3H1:3]=[*:4]  0.773  0.463 -2.846  1.406 -1.731  0.413  1.706  1.156  0.682  1.269 -1.124  1.187
O=[C:1][NX3H1:2]!@;-[CX3H1:3]=[*:4]  0.081  1.541  0.498 -2.164  0.342  1.363  0.026  1.24  -0.554 -0.311 -0.102  2.715
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*:4]  0.168  1.736 -1.61   1.207  0.084  1.984 -1.328  1.155 -0.006  1.458 -0.622  1.62 
O=[C:1][NX3H0:2]!@;-[CX4H2:3][c:4]([cH,nX2H0])[cH,nX2H0]  0.668  0.581 -3.667  1.131 -1.123  0.609  1.251  1.586  0.551  1.561 -2.836  0.464
O=[C:1][NX3H1:2]!@;-[CX4H2:3][c:4]([cH,nX2H0])[cH,nX2H0] -1.452  0.807  1.405  2.576 -0.877  1.057  0.483  1.518 -0.769 -0.199 -0.644  0.029
O=[C:1][NX3H0:2]!@;-[CX4H2:3][!#1:4] 1.716 0.949 2.156 1.13  0.885 0.695 1.12  0.753 1.288 0.805 0.899 0.653
O=[C:1][NX3H1:2]!@;-[CX4H2:3][!#1:4] -0.652  0.392  0.775  2.861  0.806 -0.259 -0.067  1.213  0.244  0.76   0.65  -0.101
O=[C:1][NX3H0:2]!@;-[CX4H1:3][H:4]  1.511  0.33   0.505  2.902  0.822 -0.238 -0.176  0.461  0.162  1.252  0.473 -0.344
O=[C:1][NX3H1:2]!@;-[CX4H1:3][H:4] -0.327  1.379 -0.484  1.318  0.38   0.63  -1.374  0.629 -0.598  0.203  1.8   -0.007
O=[C:1][NX3H0:2]!@;-[CX4H0:3][C:4] -5.041e-01  1.777e+00 -2.641e+00  3.014e-01  1.492e-01  2.148e+00  1.608e+00 -3.508e-02  1.131e+00 -8.164e-02  2.374e+00 -3.787e-04
O=[C:1][NX3H1:2]!@;-[CX4H0:3][C:4]  0.04   1.428 -0.278 -0.204  4.431  0.151  0.03   2.324  0.046 -0.878 -0.182  0.948
O=[C:1][NX3:2]!@;-[!#1:3][!#1:4]  0.444  0.392  0.098  0.954  1.336  0.98   0.478  0.397 -0.101  0.585 -0.144  0.971
O=[C:1][NX3H0:2]!@;-[c:3]([s,o])[n:4]  0.107  1.543  1.653  0.265 -0.094  0.84  -0.141  1.152  0.877  0.035  1.285 -0.19 
O=[C:1][NX3H1:2]!@;-[c:3]([s,o])[n:4] -0.069  1.195 -3.531  0.879 -0.542  1.291 -0.811  0.444  0.752  1.704 -0.796  1.01 
O=[C:1][NX3:2]!@;-[a:3]([s,o])[a:4] -1.468  0.444 -9.273  0.536  0.072  4.426 -1.558  0.869  1.207  0.618  0.446  1.536
O=[C:1][NX3H1:2]!@;-[c:3]([cH,nX2H0])[cH,nX2H0:4] -0.183  0.995  0.884 -1.203  0.097  1.248 -0.093  1.643  1.232  0.043 -0.28   1.77 
O=[C:1][NX3:2]!@;-[a:3]([nX2H0])[cH0:4] -0.015  0.863 -1.839  1.348  0.028  0.9    1.946  0.433 -0.039 -0.621 -0.466  2.344
O=[C:1][NX3H1:2]!@;-[a:3]([nX2H0])[cH1:4] -0.154  0.817 -1.133  1.032  0.962  0.328  1.569  0.7    0.374  0.918 -2.897  0.413
O=[C:1][NX3:2]!@;-[a:3]([nX2H0])[cH1:4] -0.089  1.676 -3.449  1.404 -0.061  2.161  0.545  0.743  1.093  0.481  0.134  0.862
