// cosine**2 fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -3.491  0.883 -0.872  0.983  0.18   2.639  0.032  1.949  3.136 -0.157 -0.335  0.942
[!#1:1][CX4H2:2]!@;-[OX2:3][!#1:4]  2.559  0.888 -0.661  1.454  0.738 -0.42  -0.824 -0.16  -0.154  1.425  0.043  0.864
[!#1:1][CX4:2]!@;-[OX2:3][!#1:4]  2.134  1.054 -1.603  0.584  1.329 -0.245 -0.313 -0.447 -0.108  1.737  0.007  1.346
O=[CX3:1][NX3H0:2](C)!@;-[CX4H2:3][C:4]  1.888  0.804 -1.058  0.353 -0.732  0.284 -0.394 -0.332 -0.035  1.682 -0.059  0.877
O=[CX3:1][NX3H1:2]!@;-[CX4H2:3][C:4]  5.281  0.885 -0.523  0.546 -0.064  1.124  0.135  0.847  0.594 -0.179  0.226 -0.35 
O=[S:1](=O)[NX3H0:2]!@;-[CX4H2:3][!#1:4]  3.412  0.867  0.864 -0.268  0.576 -0.537  1.223  0.224  0.052  1.389 -0.088  1.408
O=[S:1](=O)[NX3H1:2]!@;-[CX4H2:3][!#1:4] 14.8    0.288  6.867  0.271  4.55   0.369  6.086  0.248  4.532  0.303 -0.401 -2.852
O=[S:1](=O)[NX3H0:2]!@;-[CX4H1:3][H:4]  5.588  1.004  2.626  0.711  1.12   0.703  2.117 -0.213 -1.677  0.356  0.956 -0.698
O=[S:1](=O)[NX3H1:2]!@;-[CX4H1:3][H:4] -2.818  0.955 -2.836  0.908  0.924  2.513  0.445  0.885 -2.049  0.679  1.743  0.501
O=[S:1](=O)[NH1:2]!@;-[c:3][nX2:4] -4.001  1.109 -1.067  1.026  1.025  2.049  0.199  1.354 -1.278  0.619  0.343  1.127
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH1])[cH1:4] -5.482  0.999  4.287  1.129 -0.872  2.411  3.241  0.646 -1.005  0.9   -0.433 -0.369
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH1])[cH1:4] -0.244  0.454  1.196  0.489  0.756 -0.228  0.018  1.767  2.348 -0.117 -0.133  1.243
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH1])[cH0:4] -3.228  0.905  1.337  2.023 -1.782  0.659  2.021  0.777  1.601 -0.918  1.536  0.782
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH1])[cH0:4]  5.035  0.819  2.969  0.768  1.46   0.312  0.299 -1.098 -1.073  0.817 -1.663  0.521
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH0])[cH0:4]  7.666  0.396  8.374  0.313  5.07   0.274  5.226  0.202 -1.245 -0.466 -0.43  -0.991
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH0])[cH0:4]  5.596  1.21  -0.712  0.475 -1.903  0.627 -2.656  0.883 -0.953  0.716  1.505  0.716
O=[S:1](=O)[N:2]!@;-[c:3][a:4]  7.193  1.066  5.01   0.697  1.932  0.453  0.078 -1.876 -4.109  0.277 -5.038  0.244
[O-:1][N+:2](=O)!@;-[c:3]([cH,nX2H0])[cH,nX2H0:4] -0.036  1.701  0.39   1.675  0.863  0.284  0.304  0.456  0.169 -0.93  -0.58  -0.064
[O-:1][N+:2](=O)!@;-[c:3]([cH0])[cH,nX2H0:4] -4.682  1.922 -0.732  2.713  0.24   3.061 -0.196  1.865 -0.074  3.184 -1.015  1.727
[O-:1][N+:2](=O)!@;-[c:3]([cH0])[cH0:4] -2.697  0.977  0.095  1.899  1.504  0.295  1.808 -0.02  -0.048  1.302 -0.418  0.915
[O-:1][N+:2](=O)!@;-[c:3][a:4]  1.001 -0.905  0.512  0.895  0.403 -0.668 -0.231  1.426  0.117  1.688 -0.137  1.751
[cH0:1][c:2]([cH0])!@;-[NX3H1:3][C,c:4] -2.239  1.095 -0.029  0.989  0.007  0.806  0.876 -0.264 -0.037  1.773 -0.328  1.454
[cH0:1][c:2]([cH1])!@;-[NX3H1:3][C,c:4] -0.175  0.176  0.715  0.836 -1.45   0.454  0.736  0.55   0.232 -0.643 -0.015  2.164
[cH0:1][c:2]([nX2H0])!@;-[NX3H1:3][C,c:4] -2.727  0.791  0.676  0.828  2.705 -0.156  1.427  0.361 -0.118  1.71  -0.017  1.807
[cH0:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] -6.342  1.476  3.679  0.667 -0.298  4.104  0.151  2.299 -0.271  2.001  2.999  0.251
[cH1:1][c:2]([cH1])!@;-[NX3H1:3][C,c:4] -3.746  0.877  1.341  1.723 -0.546  0.309  2.574  0.171 -0.027  1.731  0.705  0.446
[cH1:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] -3.533  1.827  1.965  1.2   -0.598  2.021  1.639  0.975 -2.125  0.724  2.198  0.541
