// gaussian fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] 8.499e-02 1.606e+00 3.373e+00 1.360e-03 1.800e+02 8.651e+00 6.195e-02 3.584e+02 3.423e+00
[C:1][CX4H2:2]!@;-[OX2:3][c:4] 1.384e-02 4.395e+01 1.588e+01 8.754e-03 1.801e+02 7.350e+00 1.129e-02 3.156e+02 1.246e+01 3.481e-03 3.295e+02 3.183e+01
[c:1][CX4H2:2]!@;-[OX2:3][C:4] 2.175e-02 7.429e+01 1.167e+01 7.636e-03 1.801e+02 5.894e+00 2.222e-02 2.874e+02 1.132e+01
[C:1][CX4H2:2]!@;-[OX2:3][C:4] 1.791e-02 7.376e+01 1.507e+01 1.094e-03 1.803e+02 1.204e+01 1.822e-02 2.870e+02 1.472e+01
[c:1][CX4H2:2]!@;-[OX2:3][c:4] 1.676e-02 7.773e+01 1.139e+01 1.136e-02 1.803e+02 1.068e+01 1.665e-02 2.830e+02 1.158e+01
[!#1:1][CX4H2:2]!@;-[OX2:3][c:4] 3.054e-02 6.773e+01 8.564e+00 3.026e-03 1.801e+02 5.919e+00 2.670e-02 2.942e+02 1.036e+01
[!#1:1][CX4H2:2]!@;-[OX2:3][C:4] 2.169e-02 7.342e+01 1.178e+01 7.086e-03 1.801e+02 5.894e+00 2.236e-02 2.881e+02 1.125e+01
[c:1][CX4H2:2]!@;-[OX2:3][!#1:4] 1.638e-02 7.706e+01 1.238e+01 1.007e-02 1.803e+02 1.069e+01 1.637e-02 2.837e+02 1.243e+01
[C:1][CX4H2:2]!@;-[OX2:3][!#1:4] 2.069e-02 7.088e+01 1.176e+01 1.338e-03 1.802e+02 9.619e+00 1.958e-02 2.894e+02 1.301e+01
[!#1:1][CX4H2:2]!@;-[OX2:3][!#1:4] 1.724e-02 7.667e+01 1.193e+01 9.912e-03 1.803e+02 9.913e+00 1.701e-02 2.843e+02 1.219e+01
[!#1:1][CX4:2]!@;-[OX2:3][!#1:4] 1.702e-02 7.593e+01 1.259e+01 8.854e-03 1.803e+02 9.904e+00 1.692e-02 2.850e+02 1.270e+01
O=[CX3:1][NX3H0:2](C)!@;-[CX4H2:3][C:4] 1.135e-02 7.326e+01 1.698e+01 6.476e-03 1.804e+02 2.358e+01 1.141e-02 2.877e+02 1.691e+01
O=[CX3:1][NX3H1:2]!@;-[CX4H2:3][C:4] 1.302e-02 9.553e+01 2.187e+01 1.308e-02 2.655e+02 2.172e+01
O=[S:1](=O)[NX3H0:2]!@;-[CX4H2:3][!#1:4] 1.361e-02 1.066e+02 1.914e+01 1.391e-02 2.542e+02 1.853e+01
